,10_40039_S11_R1_001.expression,10_90002_mor_det_45776883_R1.expression,1_10115_88_S4_R1_001.expression,11_10102_mor_det_45794778_R1.expression,11_40044_S12_R1_001.expression,12_20042_eve_det_45788807_R1.expression,12_40035_S13_R1_001.expression,13_10119_94_S14_R1_001.expression,13_90006_eve_det_45796767_R1.expression,14_10104_eve_det_45791770_R1.expression,14_40003_S15_R1_001.expression,15_40047_S16_R1_001.expression,15_Control_blood_9_45784879_R1.expression,16_10103_I1_R1.expression,16_Control_blood_11_45796768_R1.expression,1_70008_mor_imp_45790779_R2.expression,17_10108_I2_R1.expression,17_Control_blood_12_45792774_R1.expression,18_10136_I3_R1.expression,18_Control_blood_13_45786842_R1.expression,19_10141_I4_R1.expression,19_Control_blood_14_45759905_R1.expression,20_10155_I5_R1.expression,20_Control_blood_15_45793787_R1.expression,2_10131_83_S5_R1_001.expression,21_10181_I6_R1.expression,21_Control_blood_16_45775870_R1.expression,22_10100_D1_R1.expression,22_Control_blood_17_45792776_R1.expression,23_10116_D2_R1.expression,23_Control_blood_18_45794783_R1.expression,2_40058_mor_imp_45775868_R1.expression,24_10145_D3_R1.expression,24_Control_blood_19_45793789_R1.expression,25_10146_D4_R1.expression,26_10156_D5_R1.expression,27_30057_D6_R1.expression,3_10166_mor_imp_45795773_R1.expression,3_10189_45_S6_R1_001.expression,4_10177_eve_imp_45795771_R1.expression,4_90003_S7_R1_001.expression,5_10171_eve_imp_45788808_R1.expression,5_40026_S8_R1_001.expression,6_30065_S9_R1_001.expression,6_40049_eve_imp_45790782_R1.expression,7_30040_mor_det_45785850_R1.expression,8_60004_mor_det_45796771_R1.expression,9_30053_mor_det_45787820_R1.expression,9_30074_50_S10_R1_001.expression
hsa-miR-4743-5p,0,0,0,3,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,2,0,2,0
hsa-miR-4743-3p,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,1,1,1,1,0,0,0
hsa-miR-4794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-134-5p,96,41,96,105,30,30,68,213,38,69,37,42,120,26,59,0,27,82,6,264,27,93,28,142,128,16,277,10,295,14,91,28,2,114,14,6,23,37,81,25,36,37,83,104,117,46,6,188,75
hsa-miR-134-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4723-5p,2,0,1,2,0,0,1,1,4,0,2,1,1,1,1,0,0,1,1,3,0,1,0,3,1,1,2,0,2,0,0,0,0,2,0,1,2,1,1,1,1,3,1,1,2,1,1,3,3
hsa-miR-4723-3p,11,1,7,13,2,12,3,4,10,6,4,9,9,4,4,0,0,5,7,6,1,7,3,11,9,4,15,4,8,0,7,8,1,8,5,4,8,12,5,22,10,25,11,8,9,19,11,12,12
hsa-miR-371a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-371a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6125,0,1,1,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,2,2,2,0,0,0
hsa-miR-548c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4688,2,2,0,0,0,3,4,1,1,0,4,0,4,0,2,1,0,4,1,4,0,2,0,6,1,0,3,0,3,0,3,0,0,1,0,0,0,2,1,2,0,1,3,5,3,5,2,1,0
hsa-miR-8063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-421,35,15,20,41,6,14,28,26,18,23,10,13,125,27,146,0,44,90,17,108,13,131,23,106,21,22,175,6,154,35,114,26,41,75,31,31,32,28,15,43,17,62,16,15,20,29,36,28,8
hsa-miR-4486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4510,0,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,2,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
hsa-miR-519e-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519e-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-449b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hsa-miR-449b-3p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3186-5p,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
hsa-miR-3186-3p,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0
hsa-miR-4673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-651-5p,0,0,0,1,0,1,2,3,2,1,0,1,43,0,42,0,2,32,0,32,1,28,1,14,2,4,54,1,50,1,39,4,3,19,2,0,1,2,1,1,4,1,0,0,1,1,0,2,0
hsa-miR-651-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-206,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0
hsa-miR-7515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-378a-5p,60,55,50,73,6,79,39,46,50,66,19,18,188,54,185,0,88,189,84,172,47,172,97,197,24,65,246,45,236,69,222,58,44,133,53,97,52,71,44,85,36,119,41,42,62,74,61,80,23
hsa-miR-378a-3p,6455,3362,5620,7083,1242,6398,6676,6686,4331,5222,4602,4312,29566,3572,28603,0,3047,22625,2079,21244,1913,20165,2620,31244,5314,1807,27857,1361,30445,2187,26782,3849,2269,20877,2881,2755,2244,6258,6200,7332,6408,8847,5913,6042,6427,7421,4744,8174,4647
hsa-miR-1915-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1915-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3925-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3925-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6895-5p,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-6895-3p,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
hsa-miR-6515-5p,11,4,6,13,3,8,14,10,4,5,9,4,13,2,11,0,4,9,4,15,1,15,0,16,13,2,17,2,10,4,8,4,3,14,2,1,1,16,14,17,8,27,7,17,12,19,14,12,11
hsa-miR-6515-3p,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
hsa-miR-507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518d-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-328-3p,5265,5763,4627,8288,2424,7252,9457,8510,9351,5865,4943,3358,11848,1600,4420,0,2201,6075,1548,4978,1043,9813,2086,11110,9052,2326,13280,1577,11494,2007,6169,8123,2224,6206,1170,1509,996,8286,6425,13413,6557,12888,7346,6865,9426,7056,8906,8066,5360
hsa-miR-328-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1252-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1252-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4668-5p,2,2,2,1,0,0,0,0,6,2,0,1,7,4,2,0,3,10,1,9,0,8,0,4,3,2,12,0,6,1,6,1,2,10,1,3,2,2,2,3,3,0,1,0,4,0,0,1,1
hsa-miR-4668-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4521,0,1,1,4,1,4,2,4,2,4,0,0,12,0,11,0,2,7,2,10,3,16,1,9,3,2,9,1,8,3,4,2,2,9,5,2,2,5,7,2,1,5,1,0,0,2,11,0,0
hsa-miR-4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4507,3,8,0,1,2,8,19,9,6,5,7,2,3,2,5,0,3,2,0,1,0,6,0,1,2,3,6,0,3,0,4,3,1,3,2,2,0,1,3,11,12,4,5,1,1,5,4,1,5
hsa-miR-623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-767-5p,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-767-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6739-5p,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
hsa-miR-6739-3p,1,3,1,1,0,0,2,2,0,0,0,1,1,0,0,0,0,6,1,2,0,0,1,1,0,0,4,0,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2
hsa-miR-6729-5p,14,8,13,7,1,10,15,7,15,6,8,9,16,2,14,0,1,7,5,10,4,11,1,19,6,3,20,2,14,4,8,2,4,6,3,1,2,16,12,17,16,30,5,15,12,16,14,9,21
hsa-miR-6729-3p,5,2,0,6,0,5,1,1,6,3,3,0,4,5,4,0,3,4,1,1,0,3,0,1,1,1,4,0,1,1,6,3,1,1,1,1,4,3,2,7,3,11,3,7,6,4,8,2,3
hsa-miR-3129-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-3129-3p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,1,1,2,0,0,0
hsa-miR-3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1295b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1295b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6764-5p,3,5,2,10,3,6,8,6,3,2,3,0,12,6,4,0,4,8,2,8,4,5,7,7,1,2,7,2,5,3,4,6,2,7,2,1,1,5,4,8,2,10,3,1,6,7,5,7,4
hsa-miR-6764-3p,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,2,1,1,0,2,0,0,0,0,3,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-3665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6771-5p,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
hsa-miR-6771-3p,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3200-5p,43,9,18,16,5,19,9,23,20,30,12,5,55,14,18,0,21,42,9,66,4,38,13,32,19,9,56,9,72,15,78,24,17,41,10,9,12,15,20,8,21,25,37,10,16,17,13,10,9
hsa-miR-3200-3p,142,69,180,175,14,103,121,165,132,158,107,98,422,107,166,0,103,333,51,308,19,249,178,450,104,45,354,30,528,35,500,158,41,370,36,52,46,158,105,207,70,313,138,85,134,149,91,210,133
hsa-miR-596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-92a-2-5p,2,1,0,1,0,0,3,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,1,1,1,0,0
hsa-miR-548w,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
hsa-miR-6787-5p,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0
hsa-miR-6787-3p,1,1,3,6,0,3,2,3,1,1,3,0,0,0,0,0,0,1,0,1,1,2,0,3,1,0,4,0,2,0,1,0,1,1,1,0,0,7,2,2,2,2,1,6,0,2,3,2,0
hsa-miR-5001-5p,1,1,2,1,0,1,5,2,0,1,2,6,5,3,3,0,6,1,1,4,0,3,1,1,3,1,5,1,10,1,2,0,1,2,1,1,3,2,5,2,3,3,4,3,2,1,3,3,0
hsa-miR-5001-3p,3,7,0,14,2,5,6,10,1,11,0,7,17,7,16,0,13,12,3,14,6,22,14,17,3,7,16,2,27,10,22,10,10,22,7,8,5,12,4,12,6,15,1,5,14,9,9,13,5
hsa-miR-6891-5p,0,1,0,0,4,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,3
hsa-miR-6891-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
hsa-miR-3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-493-5p,221,115,216,142,72,39,182,151,85,200,49,238,396,23,183,0,49,311,17,1333,17,393,62,527,400,25,1440,32,1242,31,340,50,15,444,12,5,27,62,141,71,71,47,319,202,158,68,6,268,70
hsa-miR-493-3p,31,14,30,25,23,4,21,22,7,22,8,29,81,8,43,0,10,55,0,163,7,40,5,95,57,5,250,3,173,3,71,7,4,115,2,3,5,18,35,8,8,10,31,37,28,17,0,65,12
hsa-miR-4437,8,1,4,1,2,1,5,7,5,2,0,6,5,2,1,0,0,0,1,3,2,1,2,1,3,1,2,1,1,1,4,10,3,1,1,0,2,3,1,6,4,11,17,6,2,3,5,2,3
hsa-miR-6753-5p,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0
hsa-miR-6753-3p,8,6,23,7,13,10,32,20,12,7,31,11,29,12,25,0,4,35,5,12,2,15,5,40,24,1,24,0,26,0,27,11,2,17,2,1,0,16,18,17,21,20,12,33,28,8,23,14,20
hsa-miR-6828-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6828-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4443,526,91,393,56,60,155,688,1419,40,180,695,389,48,44,411,0,51,90,58,78,39,120,76,40,252,26,69,48,43,94,159,34,26,278,20,14,31,80,757,35,943,105,301,382,203,13,131,120,503
hsa-miR-18b-5p,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,2,7,0,5,0,4,0,4,1,1,1,0,4,0,2,0,0,3,0,2,3,0,1,1,0,0,0,0,1,0,0,0,0
hsa-miR-18b-3p,146,88,180,83,21,133,164,127,124,133,64,77,258,64,121,0,84,176,96,167,48,189,119,359,123,95,280,36,217,68,166,90,41,175,35,65,35,126,50,272,101,246,87,102,158,107,126,139,72
hsa-miR-3197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-378c,73,81,158,148,25,107,77,85,105,163,63,65,705,60,699,0,86,612,52,481,52,459,54,748,56,40,807,33,911,64,561,91,51,526,55,81,45,131,73,141,110,187,77,82,131,140,126,143,70
hsa-miR-1237-3p,3,1,0,1,2,0,2,0,2,2,1,3,3,1,0,0,0,1,0,0,0,3,1,1,3,0,1,0,3,0,5,0,0,1,0,0,0,1,3,4,1,1,3,4,1,2,1,5,2
hsa-miR-1237-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548an,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
hsa-miR-519d-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-519d-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3912-3p,0,0,0,3,0,2,0,0,0,2,0,0,19,0,12,0,0,7,0,7,0,7,1,7,0,0,16,1,3,2,6,0,0,6,4,1,0,0,0,1,1,0,0,0,1,1,0,0,1
hsa-miR-3912-5p,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
hsa-miR-380-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-380-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-361-5p,63,64,50,97,6,41,90,45,52,107,47,25,137,22,91,0,48,132,35,195,24,202,45,101,54,41,190,29,264,40,151,58,33,138,37,48,40,87,75,72,56,98,51,33,85,62,71,79,31
hsa-miR-361-3p,1069,650,951,1328,280,665,1390,1090,589,976,1059,926,2222,360,1903,0,356,2402,245,1996,215,2338,407,2825,1030,290,2586,248,2855,281,2516,761,227,2526,292,335,271,852,1110,983,1016,1105,1025,929,887,1054,742,1019,879
hsa-miR-6760-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6760-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-892c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-892c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6841-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6841-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7855-5p,8,7,8,4,3,2,23,12,4,2,13,8,10,1,8,0,7,9,1,3,2,6,4,20,7,0,17,1,17,2,11,5,3,3,2,3,1,7,12,5,20,12,3,14,11,8,6,11,18
hsa-miR-636,231,90,178,120,21,100,206,169,117,116,146,94,180,66,118,0,62,108,27,110,29,101,56,197,137,32,151,22,228,36,175,87,23,102,24,54,37,179,148,169,119,211,117,144,176,134,145,169,136
hsa-miR-2681-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
